Mã,ROA (%),ROE (%),ROS (%)
A32,8.623268316390535,17.384013981852647,5.779319593226946
AAA,3.3044592947797637,7.037163333389722,3.811949078475542
AAH,,,
AAM,-5.676590321314628,-6.165525733416956,-9.899652664862165
AAS,0.5101710405388793,0.958942782818074,0.6601727691223905
AAT,2.4209938680942353,3.3036854703553713,4.889766639257712
AAV,2.3941768320311443,3.711783718060308,4.443684646895513
ABA,,,
ABB,0.9604588779354859,12.541950719245762,
ABC,-20.150899071067286,-48.91220794135215,-5.265120606688152
ABI,9.807190637971221,28.04340534517218,17.21974815367282
ABR,8.75526917782429,10.458717752545823,25.1669800674796
ABS,4.094508205855908,11.00647355604563,4.339787545814593
ABT,2.6280497111273555,3.4790920663456375,4.491543989440946
ABW,3.9825415371729247,6.7679269263325,21.73696384882373
ACB,1.7283020724283726,21.673402370667276,
ACC,7.122707191219861,12.833473475249665,13.412243957459339
ACE,9.511096866560962,26.3141725106811,6.471333245169526
ACG,11.047943894383366,13.989795074077138,13.106811437186098
ACL,1.6982639436802411,4.058320123266253,2.961196625049798
ACM,-10.300501712173627,-14.725373536800715,-inf
ACS,2.486979659075197,17.693132766504693,1.1509454609188567
ACV,2.8848513908153977,4.369857528764033,21.133607889021693
ADC,9.005668659582222,19.457921885339776,3.248087551878748
ADG,8.880189594795754,16.45285539840487,8.744929285400364
ADP,23.774656465366554,29.207735326517497,13.697958434222738
ADS,1.3299164650968236,5.790070711307593,1.8254089366317752
AFX,4.336235451813064,5.0015027192281005,2.5166162707699247
AG1,-9.652100625336303,-22.795385637346566,-6.4297329880834075
AGF,-41.562390879603264,365.01747582822094,-32.516437786930666
AGG,4.5599336504015024,19.16408450801487,25.361390083651784
AGM,3.262901129743176,5.639087211094891,1.2627707844765501
AGP,4.818061871529586,13.257338899083573,5.8326508226346006
AGR,4.23339836747231,4.616615058098252,43.05820602551427
AGX,10.695994012399568,14.046746511968944,9.998042518312271
AIC,0.35898017403325394,1.0131193746494265,0.8735367838325526
AIG,,,
ALT,1.3978932636779404,1.9130088332960724,2.1249057132921334
ALV,2.5078161420537954,4.304654569511207,2.682814629194745
AMC,7.95966609295187,15.226938152788247,4.962899726894226
AMD,0.8881955869874667,1.2250780000698438,2.1476219151369658
AME,1.0145189040202767,6.447878758404982,1.4907853931137733
AMP,0.6642049140086272,3.35928835535939,0.6371725844769881
AMS,1.962664614348308,10.297551832804563,1.5683511835410853
AMV,9.420498903673638,10.58499735560753,53.53181919054486
ANT,4.469581439821629,18.377951045595307,2.992176794942542
ANV,4.182187824296495,8.662061558807974,5.87932609240114
APC,4.50303484398784,7.120630073888668,32.1001452510683
APF,10.627591767728807,29.15185428273272,4.639714595641572
APG,6.082684392103034,6.318008080165032,68.40042696686146
APH,2.321022748011113,5.5130757160262815,2.8540684689362847
API,1.7497485677225284,9.574162729257786,10.493047956798952
APL,1.9343684307500102,14.729936963186772,0.6106892853901783
APP,0.016927009644298576,0.032419434238561286,0.008219848930464955
APS,13.7658909562613,14.139038018110334,35.74436830896509
